,tgt_rate,cpi_yoy,pce_yoy,gdp_yoy,unrate,unrate_chg_3m,vix,t10y2y,eq_ret_12m,y
2011-01-01,0.25,1.7007834915029774,1.5598650927487467,2.037797199613345,9.1,-0.3000000000000007,17.3155,2.7794999999999996,19.818271888138874,1
2011-02-01,0.25,2.124898173333145,1.8450307320212023,2.037797199613345,9.0,-0.8000000000000007,17.43,2.803684210526316,26.84492578852393,1
2011-03-01,0.25,2.619241510354109,2.1105460830258993,2.037797199613345,9.0,-0.3000000000000007,20.723478260869566,2.7169565217391307,15.241661345945756,1
2011-04-01,0.25,3.0772344447868694,2.488096556306063,1.7437088645501975,9.1,0.0,16.244,2.7205000000000004,12.980122954130513,1
2011-05-01,0.25,3.4589718808964998,2.7662471357885243,1.7437088645501975,9.0,0.0,16.91142857142857,2.6133333333333333,21.379284941556875,1
2011-06-01,0.25,3.5023181506360412,2.7884519551278464,1.7437088645501975,9.1,0.09999999999999964,19.153181818181817,2.591818181818182,20.245490345205532,1
2011-07-01,0.25,3.5798809769996165,2.875699838456258,0.9426534645672335,9.0,-0.09999999999999964,19.2275,2.5965,27.159607460829548,1
2011-08-01,0.25,3.75499603070808,2.9767297960266115,0.9426534645672335,9.0,0.0,35.02913043478261,2.072608695652174,13.57385432887812,1
2011-09-01,0.25,3.812621692818685,3.0190303779583205,0.9426534645672335,9.0,-0.09999999999999964,36.53,1.7638095238095237,9.824020460260584,1
2011-10-01,0.25,3.5222681306640524,2.693632332390705,1.543075871606514,8.8,-0.1999999999999993,32.829047619047614,1.8715,6.287079012101482,1
2011-11-01,0.25,3.451432214581729,2.6992598449408156,1.543075871606514,8.6,-0.40000000000000036,31.94190476190476,1.7600000000000002,2.975102152781206,1
2011-12-01,0.25,3.062066838419386,2.5266248849541872,1.543075871606514,8.5,-0.5,25.047619047619047,1.720952380952381,-1.135845254621659,1
2012-01-01,0.25,3.0087663379855023,2.569312446745764,2.6380693108862374,8.3,-0.5,20.228,1.7260000000000002,0.9784490222226383,1
2012-02-01,0.25,2.8981784423473878,2.5131540246413397,2.6380693108862374,8.3,-0.29999999999999893,18.4205,1.6895,5.225178389167273,1
2012-03-01,0.25,2.5828752813320977,2.2980274721697835,2.6380693108862374,8.2,-0.3000000000000007,16.167272727272728,1.8281818181818181,11.520700543885143,1
2012-04-01,0.25,2.2731633741348567,1.9998487418563693,2.403335839137921,8.2,-0.10000000000000142,17.823,1.7609523809523808,8.509971947445738,1
2012-05-01,0.25,1.7379429374660749,1.5769404769598871,2.403335839137921,8.2,-0.10000000000000142,21.001818181818184,1.518181818181818,3.0312995203054083,1
2012-06-01,0.25,1.653870448297634,1.5460196726963193,2.403335839137921,8.2,0.0,21.13095238095238,1.3304761904761906,6.0493447945465295,1
2012-07-01,0.25,1.4175114798464783,1.4100261354958565,2.5737123144880414,8.2,0.0,17.565238095238094,1.2785714285714287,3.897463941696877,1
2012-08-01,0.25,1.6859349154821235,1.51186746212284,2.5737123144880414,8.1,-0.09999999999999964,15.689565217391305,1.4095652173913045,21.082752537785332,1
2012-09-01,0.25,1.9497168982819613,1.6779710051753494,2.5737123144880414,7.8,-0.39999999999999947,15.284736842105264,1.4678947368421054,24.272321097982207,1
2012-10-01,0.25,2.1556780595369363,1.9768774978838444,1.551852007332477,7.8,-0.39999999999999947,16.276190476190475,1.469047619047619,17.939079933683754,1
2012-11-01,0.25,1.7960197033926262,1.6991017964071764,1.551852007332477,7.7,-0.39999999999999947,16.701904761904764,1.386,12.843018727411536,1
2012-12-01,0.25,1.7595049796895523,1.6243828413875505,1.551852007332477,7.9,0.10000000000000053,17.307,1.462,15.456303066876265,1
2013-01-01,0.25,1.684061762098299,1.4708075063369241,1.700868485709428,8.0,0.20000000000000018,13.505238095238095,1.6495238095238096,13.926635675527276,1
2013-02-01,0.25,2.0181404902574807,1.6046076681118793,1.700868485709428,7.7,0.0,14.072631578947368,1.7168421052631577,8.201920698848507,1
2013-03-01,0.25,1.5187472411246183,1.276992915022701,1.700868485709428,7.5,-0.40000000000000036,13.0315,1.7015,6.5960684322463825,1
2013-04-01,0.25,1.138808047576867,1.0412253198881505,1.5199382041070075,7.6,-0.40000000000000036,13.967272727272727,1.526818181818182,7.1249781327517026,1
2013-05-01,0.25,1.3903888279197085,1.2290301372187118,1.5199382041070075,7.5,-0.20000000000000018,13.493636363636364,1.6777272727272725,18.616903571596467,1
2013-06-01,0.25,1.7157935271568725,1.5055063976064709,1.5199382041070075,7.5,0.0,17.2715,1.9665,19.870745412642886,1
2013-07-01,0.25,1.885471805415806,1.5951128457492025,2.237022493295515,7.3,-0.2999999999999998,13.974545454545455,2.2413636363636367,21.90303729043621,1
2013-08-01,0.25,1.538809488600279,1.4047883304264985,2.237022493295515,7.2,-0.2999999999999998,14.21,2.380909090909091,20.024031995323433,1
2013-09-01,0.25,1.0947341081747997,1.1412854478201728,2.237022493295515,7.2,-0.2999999999999998,14.692000000000002,2.4055,18.951124384954497,1
2013-10-01,0.25,0.8767991434911471,0.9761069199571093,3.0091449601746367,7.2,-0.09999999999999964,15.407826086956522,2.2804545454545457,25.747478277106552,1
2013-11-01,0.25,1.2328701961954458,1.1954704602088029,3.0091449601746367,6.9,-0.2999999999999998,12.924000000000001,2.4147368421052633,34.5634816419079,1
2013-12-01,0.25,1.5128383667573297,1.3881001955959427,3.0091449601746367,6.7,-0.5,14.192380952380953,2.5619047619047617,35.69131157898955,1
2014-01-01,0.25,1.557758795574915,1.4054054054054133,1.6508175559380112,6.6,-0.6000000000000005,14.24095238095238,2.4642857142857144,32.90070802925711,1
2014-02-01,0.25,1.1204746347724948,1.0939820528374389,1.6508175559380112,6.7,-0.20000000000000018,15.47,2.382631578947368,32.507687031730434,1
2014-03-01,0.25,1.6126949139408042,1.38970341823057,1.6508175559380112,6.7,0.0,14.836666666666666,2.3242857142857143,32.14271845733081,1
2014-04-01,0.25,2.015125303606169,1.6731138157687786,2.6891521587272926,6.2,-0.39999999999999947,14.19809523809524,2.288095238095238,26.695184674900485,1
2014-05-01,0.25,2.166947687079812,1.7661662878033946,2.6891521587272926,6.3,-0.40000000000000036,12.475238095238096,2.17,20.201249554044832,1
2014-06-01,0.25,2.0589816945944195,1.6514586142380772,2.6891521587272926,6.1,-0.6000000000000005,11.541428571428572,2.146190476190476,26.809083198965176,1
2014-07-01,0.25,1.9742378703305974,1.6692416903290486,3.059782928201682,6.2,0.0,12.296363636363635,2.0359090909090907,24.564213845761728,1
2014-08-01,0.25,1.7150983482969062,1.5062438759980923,3.059782928201682,6.1,-0.20000000000000018,13.491904761904761,1.9476190476190476,22.662595848071643,1
2014-09-01,0.25,1.6840509711232077,1.4972493123280861,3.059782928201682,5.9,-0.1999999999999993,13.466666666666667,1.9676190476190476,21.98516722964483,1
2014-10-01,0.25,1.6095417021513292,1.3329448612426242,2.6858351011456394,5.7,-0.5,18.058695652173913,1.8586363636363636,14.423042267620168,1
2014-11-01,0.25,1.231524989320798,1.0857594081832067,2.6858351011456394,5.8,-0.2999999999999998,13.413157894736841,1.7983333333333331,18.450122778856738,1
2014-12-01,0.25,0.6531213919623191,0.7322588005891362,2.6858351011456394,5.6,-0.3000000000000007,16.292272727272728,1.5718181818181818,16.114700000121076,1
2015-01-01,0.25,-0.22993097820542818,0.04140186722421113,3.9692994988184793,5.7,0.0,19.1195,1.33,12.501093515271045,1
